component_id,artifact_id,source_population,stratum,attack_related,raw_component_median_latency_ns,paired_h0_median_latency_ns,composed_path_median_latency_ns,paired_component_minus_load_difference_median_ns,peak_traced_allocation_bytes,canonical_bytes,bundle_bytes,N_operations,N_modes,schedule_operation_count,recorded_repetitions
H1,A22_SINGLE_PRIORITY_004,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,64350.0,158350.0,216850.0,-104750.0,11111,2315,2315,,,,100
H1,A22_SINGLE_PRIORITY_005,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,57300.0,168050.0,225600.0,-114700.0,10415,2083,2083,,,,100
H1,A22_SINGLE_PRIORITY_006,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,69000.0,171300.0,235050.0,-115500.0,11873,2569,2569,,,,100
H1,A22_SINGLE_PRIORITY_007,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,65150.0,170100.0,230800.0,-115450.0,11129,2321,2321,,,,100
H1,A22_SINGLE_PRIORITY_008,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,65150.0,156150.0,216650.0,-100750.0,11663,2499,2499,,,,100
H1,A22_SINGLE_PRIORITY_009,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,57500.0,154050.0,207450.0,-107050.0,9749,1861,1861,,,,100
H1,A22_SINGLE_PRIORITY_010,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,59700.0,170100.0,228950.0,-114800.0,11129,2321,2321,,,,100
H1,A22_SINGLE_PRIORITY_011,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,69950.0,177800.0,249050.0,-111900.0,14153,3329,3329,,,,100
H1,A22_SINGLE_PRIORITY_012,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,70050.0,173400.0,238950.0,-107000.0,12056,2630,2630,,,,100
H1,A22_SINGLE_PRIORITY_013,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,61000.0,156200.0,211100.0,-106800.0,10130,1988,1988,,,,100
H1,A22_SINGLE_PRIORITY_014,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,57600.0,154250.0,209700.0,-105100.0,10295,2043,2043,,,,100
H1,A22_SINGLE_PRIORITY_015,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,63800.0,171300.0,233300.0,-117200.0,11030,2288,2288,,,,100
H1,A22_SINGLE_PRIORITY_016,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,57850.0,167500.0,224300.0,-117150.0,10304,2046,2046,,,,100
H1,A22_SINGLE_PRIORITY_017,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,61050.0,171700.0,229750.0,-119950.0,10277,2037,2037,,,,100
H1,A22_SINGLE_PRIORITY_018,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,65700.0,158550.0,219100.0,-101550.0,11750,2528,2528,,,,100
H1,A22_SINGLE_PRIORITY_019,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,52700.0,155000.0,207900.0,-108150.0,9755,1863,1863,,,,100
H1,A22_SINGLE_PRIORITY_020,A22_RETAINED_SEMANTIC_CANDIDATES_V1,expected_accept,False,60750.0,167650.0,223600.0,-117000.0,9995,1943,1943,,,,100
