component_id,reporting_group,artifact_id,descriptor,descriptor_value,artifact_median_component_latency_ns,observed_range_only
H1,H1_A22,A22_ATTACK_PURE_005,bundle_bytes,2827,61250.0,True
H1,H1_A22,A22_ATTACK_PURE_006,canonical_bytes,1938,50800.0,True
H1,H1_A22,A22_ATTACK_PURE_006,bundle_bytes,1938,50800.0,True
H1,H1_A22,A22_ATTACK_PURE_007,canonical_bytes,2284,57750.0,True
H1,H1_A22,A22_ATTACK_PURE_007,bundle_bytes,2284,57750.0,True
H1,H1_A22,A22_ATTACK_PURE_008,canonical_bytes,2304,52500.0,True
H1,H1_A22,A22_ATTACK_PURE_008,bundle_bytes,2304,52500.0,True
H1,H1_A22,A22_ATTACK_PURE_009,canonical_bytes,2076,51400.0,True
H1,H1_A22,A22_ATTACK_PURE_009,bundle_bytes,2076,51400.0,True
H1,H1_A22,A22_ATTACK_PURE_010,canonical_bytes,2126,49950.0,True
H1,H1_A22,A22_ATTACK_PURE_010,bundle_bytes,2126,49950.0,True
H1,H1_A22,A22_ATTACK_PURE_011,canonical_bytes,2067,52700.0,True
H1,H1_A22,A22_ATTACK_PURE_011,bundle_bytes,2067,52700.0,True
H1,H1_A22,A22_ATTACK_PURE_012,canonical_bytes,2033,48150.0,True
H1,H1_A22,A22_ATTACK_PURE_012,bundle_bytes,2033,48150.0,True
H1,H1_A22,A22_ATTACK_PURE_013,canonical_bytes,2384,58600.0,True
H1,H1_A22,A22_ATTACK_PURE_013,bundle_bytes,2384,58600.0,True
H1,H1_A22,A22_ATTACK_PURE_014,canonical_bytes,2217,52650.0,True
H1,H1_A22,A22_ATTACK_PURE_014,bundle_bytes,2217,52650.0,True
H1,H1_A22,A22_ATTACK_PURE_015,canonical_bytes,1819,52900.0,True
H1,H1_A22,A22_ATTACK_PURE_015,bundle_bytes,1819,52900.0,True
H1,H1_A22,A22_ATTACK_PURE_016,canonical_bytes,2490,57500.0,True
H1,H1_A22,A22_ATTACK_PURE_016,bundle_bytes,2490,57500.0,True
H1,H1_A22,A22_ATTACK_PURE_017,canonical_bytes,2455,56750.0,True
H1,H1_A22,A22_ATTACK_PURE_017,bundle_bytes,2455,56750.0,True
H1,H1_A22,A22_ATTACK_PURE_018,canonical_bytes,2099,54600.0,True
H1,H1_A22,A22_ATTACK_PURE_018,bundle_bytes,2099,54600.0,True
H1,H1_A22,A22_ATTACK_PURE_019,canonical_bytes,2142,55400.0,True
H1,H1_A22,A22_ATTACK_PURE_019,bundle_bytes,2142,55400.0,True
H1,H1_A22,A22_ATTACK_PURE_020,canonical_bytes,2004,51900.0,True
H1,H1_A22,A22_ATTACK_PURE_020,bundle_bytes,2004,51900.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_001,canonical_bytes,2465,65900.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_001,bundle_bytes,2465,65900.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_002,canonical_bytes,7928,129350.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_002,bundle_bytes,7928,129350.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_003,canonical_bytes,3252,72600.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_003,bundle_bytes,3252,72600.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_004,canonical_bytes,5092,94650.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_004,bundle_bytes,5092,94650.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_005,canonical_bytes,3023,70600.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_005,bundle_bytes,3023,70600.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_006,canonical_bytes,3937,81600.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_006,bundle_bytes,3937,81600.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_007,canonical_bytes,2524,64300.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_007,bundle_bytes,2524,64300.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_008,canonical_bytes,3244,70750.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_008,bundle_bytes,3244,70750.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_009,canonical_bytes,2170,54750.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_009,bundle_bytes,2170,54750.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_010,canonical_bytes,7153,116650.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_010,bundle_bytes,7153,116650.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_011,canonical_bytes,2416,63200.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_011,bundle_bytes,2416,63200.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_012,canonical_bytes,12345,177700.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_012,bundle_bytes,12345,177700.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_013,canonical_bytes,3005,68750.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_013,bundle_bytes,3005,68750.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_014,canonical_bytes,3062,73500.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_014,bundle_bytes,3062,73500.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_015,canonical_bytes,2654,68150.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_015,bundle_bytes,2654,68150.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_016,canonical_bytes,3419,76500.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_016,bundle_bytes,3419,76500.0,True
H1,H1_A22,A22_ATTACK_UNDERLYING_017,canonical_bytes,2272,57750.0,True
